DAY,LATITUDE,LONGITUDE,MONTH,SIZE,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
25,50.1464,-115.9825,4,0.009,2025,1,8.551389569788626e-07,5.300654347737634,-4.591271464029944
9,49.2152,-124.6753,9,0.009,2025,1,1.0830163944319793e-05,17.004240290323935,13.4871542612712
2,48.6577,-124.2155,7,5.36,2025,1,1.2013316052161827e-05,14.295719401041708,10.119464492797874
23,53.0436,-125.3313,7,6.87,2025,1,3.9789332674899924e-05,17.66524149576827,9.686454391479515
26,49.8603,-125.503,7,0.2,2025,1,0.0036008059978485107,15.781807835896814,11.212115224202478
24,49.4841,-125.1236,4,0.001,2025,1,1.0421598730658843e-06,8.993838246663415,2.7953964233398665
1,49.6006,-121.8368,5,0.05,2025,1,1.7123598468060663e-06,9.123033142089866,1.987209574381552
10,49.1687,-124.4344,6,5.35,2025,1,8.52346317969932e-07,18.13226979573568,6.7036847432454465
12,49.9019,-119.7004,9,0.1,2025,1,2.282857792579307e-06,19.12715555826827,9.514484024047874
4,49.1769,-124.3055,7,0.009,2025,1,0.00013730227937003292,15.533977127075218,9.441477711995446
6,51.1009,-119.6714,5,0.009,2025,1,1.7171240642710472e-06,10.234384791056357,-2.4682741800943973
2,49.1939,-116.2472,9,450.0,2025,1,0.00031526607432397213,21.702909723917685,8.660539245605491
8,49.4421,-119.994,7,0.2,2025,1,0.0,17.946962610880576,5.601130421956384
30,52.0924,-122.986,5,6.0,2025,1,0.00051116943359375,10.56875063578292,0.3915287017822493
18,49.1499,-118.3309,6,2.5,2025,1,0.00015943348404334756,18.334408060709677,3.8436542510986555
9,53.3793,-123.7594,7,0.6,2025,1,0.001085040312318597,12.088331476847372,2.603491083780966
27,51.6142,-118.109,8,3.6,2025,1,0.0009621083736419678,18.241133626302087,7.396321233113611
3,50.504,-115.981,6,0.009,2025,1,0.0008420139551112982,9.161514536539755,-1.5058972676594635
16,51.0474,-120.277,9,3.01,2025,1,0.0,16.6539296468099,7.814336395263695
12,48.8527,-123.8104,10,0.009,2025,1,0.005560411380940877,8.779965972900413,6.527357991536462
25,51.1675,-118.9839,9,1.75,2025,1,0.00013950467109680176,14.24606602986654,8.158990478515648
16,51.5834,-122.709,7,0.009,2025,1,0.0011295742805081943,14.952226893107138,6.019755935668968
5,49.0943,-121.4862,7,0.009,2025,1,2.3084878876034054e-05,10.680413182576501,5.8241808573405365
27,50.1228,-125.3897,8,0.009,2025,1,0.0,21.987145996093773,15.900878524780296
1,49.4866,-117.5752,5,0.92,2025,1,1.7123598468060663e-06,7.9037948608398665,-0.6731094360351335
15,52.4663,-122.4406,4,3.1,2025,1,0.00037838437185655494,4.959693527221702,-1.1090911865234148
30,56.0126,-120.0371,4,3.84,2025,1,8.538365364074707e-05,9.987910207112634,-2.991080983479776
27,54.2112,-125.7112,4,2.0,2025,1,3.8981567627160985e-06,5.5063498179118255,-2.795084381103493
20,55.0988,-128.1355,4,2.33,2025,1,0.0020933896302608446,0.5346866607666243,-3.707875951131143
20,55.2627,-122.9435,9,0.01,2025,1,0.009199586510646895,9.847484207153343,6.872822697957361
1,52.2094,-121.8472,5,3.7,2025,1,1.7123598468060663e-06,10.193101501464866,-1.0614557902018191
8,55.6931,-121.522,5,2.0,2025,1,0.00013067424786683546,8.559746678670251,-4.92958043416337
8,50.9781,-119.179,5,0.6,2025,1,0.0016901850749313496,10.264092381795251,0.4730074564616302
7,50.1132,-120.2851,5,0.8,2025,1,7.447056750109482e-05,12.710853830973349,1.5341856638590912
4,49.9627,-119.7069,5,0.2,2025,1,0.0003457951256926606,3.700379943847679,-6.508488718668616
16,49.5612,-121.087,10,28.5,2025,1,2.7477740331960376e-06,2.762081400553427,-3.7156490325927507
8,48.6486,-123.8332,5,0.81,2025,1,0.000249853735095229,7.504652277628622,1.2833915710449446
12,54.728,-126.7847,10,0.38,2025,1,0.0008036030999960531,0.017352040608727748,-6.441717529296852
18,49.7071,-124.511,4,0.3,2025,1,8.52346317969932e-07,11.558204269409202,4.370874023437523
18,56.527,-122.6953,4,12.3,2025,1,1.4561414616309776e-05,4.484962081909202,-2.6370198567707916
25,50.5408,-116.2599,4,1.12,2025,1,8.551389569788626e-07,3.1206413269043196,-5.3220657348632585
1,51.8244,-121.4924,5,1.19,2025,1,1.7123598468060663e-06,11.23126881917318,-0.7731257120768191
21,53.2254,-119.9878,4,0.009,2025,1,0.0033646624509628964,-0.5739253997802507,-4.720294698079385
22,52.2067,-122.2687,8,1.19,2025,1,0.0,15.957913970947288,5.660468673706077
10,49.6747,-125.5398,8,0.09,2025,1,8.583068833445395e-07,19.475682195027673,12.515103912353538
27,52.7258,-119.2326,8,0.009,2025,1,0.0,19.23364664713546,5.640299097696982
18,51.6517,-120.1186,4,0.33,2025,1,8.52346317969932e-07,5.038591639200888,-3.7864339192707916
29,49.2859,-121.8277,5,1.3,2025,1,0.0060865432024002075,15.838485336303734,12.678061421712243
25,50.4579,-127.5162,7,1.41,2025,1,6.750226020812988e-05,14.789520517985068,9.82623125712081
17,54.1588,-122.9371,7,0.009,2025,1,0.000240571058839123,16.23071123758956,11.105339940389001
21,50.3014,-120.8002,9,0.009,2025,1,0.004175859689610206,11.9573964436849,6.608318583170615
21,49.8983,-121.4469,8,0.7,2025,1,2.57171825523983e-06,13.566427485148154,6.630893325805687
31,49.0247,-122.818,8,0.09,2025,1,0.00028497677703853697,19.813342666626,15.21442565917971
31,55.4023,-127.5838,7,0.009,2025,1,0.0031000941980892094,19.344468688964866,13.542321777343773
27,50.3076,-119.3828,9,13.25,2025,1,0.00027805566787719727,13.709416961669945,5.859637196858728
8,49.1009,-121.768,7,0.009,2025,1,0.0,18.900575892130576,11.335017140706384
11,50.1276,-123.7839,6,0.3,2025,1,0.0,16.4263689676921,8.8265097300212
28,51.7953,-121.4979,8,0.08,2025,1,8.63488196500839e-07,22.685687637329124,7.71084874471029
5,50.3862,-121.3897,5,0.1,2025,1,8.523463748133508e-07,9.307897822062216,-4.207346979777014
13,49.5741,-123.9463,9,6.3,2025,1,7.567107667227901e-05,17.035853958129906,14.347710545857751
1,49.7143,-119.5199,8,0.009,2025,1,0.00022892951960784558,20.633601125081384,9.835398610432946
3,49.3007,-124.5385,9,0.03,2025,1,5.09023665884456e-06,21.3796103159587,17.27854436238607
30,55.5541,-120.6841,4,0.0,2025,1,4.404783248901367e-05,7.348343149821005,-3.5861330668131473
30,55.5427,-120.699,4,0.0,2025,1,4.144012928009033e-05,6.870559946696005,-3.533561452229776
30,55.5295,-120.7347,4,0.87,2025,1,4.144012928009033e-05,6.870559946696005,-3.533561452229776
30,55.5365,-120.7134,4,267.0,2025,1,4.144012928009033e-05,6.870559946696005,-3.533561452229776
30,55.5783,-120.595,4,5.0,2025,1,4.793703556060791e-05,7.80692062377932,-3.390250905354776
8,53.8001,-126.6141,6,1001.0,2025,1,7.712841028961748e-06,15.228239313761435,7.08369089762374
30,50.6572,-120.3475,8,0.009,2025,1,0.00031542183614874375,23.60440343221029,10.851991271972679
6,49.7591,-124.1365,7,0.09,2025,1,,,
25,54.9181,-127.2969,4,0.3,2025,1,0.00034629385775275523,5.359817759196005,-0.11454620361325851
28,55.0968,-128.0039,8,0.3,2025,1,8.63488196500839e-07,20.469623184204124,12.04605382283529
1,49.4351,-117.3843,8,0.009,2025,1,0.0029346525668643153,19.296280161539755,13.814483896891318
28,54.0931,-125.0204,4,0.2,2025,1,0.003824015720567786,7.756127929687523,1.7241683959961165
28,54.3943,-126.0282,4,0.009,2025,1,0.0044305078823185795,5.064803059895837,0.3389958699544309
25,49.7716,-114.8868,9,0.3,2025,1,0.0,12.444389597574911,3.2529846191406477
17,53.1702,-122.4903,9,0.2,2025,1,0.00013652741898795284,20.414455668131552,8.55323499043783
16,49.9335,-124.6856,7,0.6,2025,1,,,
13,55.2236,-127.4373,5,0.1,2025,1,0.00020840167998770198,7.443271255493187,-0.7169670104980241
2,52.38,-126.0905,8,0.009,2025,1,0.001264345645836329,15.59074427286788,10.892533874511741
20,49.6199,-117.0541,8,0.3,2025,1,0.00031812787045737423,16.83662058512374,9.191753641764365
8,54.1057,-125.3545,7,0.009,2025,1,0.006968945264816284,13.542665735880576,10.641250864664755
30,50.9361,-118.431,8,0.009,2025,1,0.00528744758821631,16.854566192626976,11.650900777180993
25,50.2444,-121.0925,8,0.1,2025,1,0.0,22.848011906941736,6.590432739257835
6,49.2929,-124.2307,7,0.09,2025,1,4.351138045421976e-07,18.166684087117517,12.480112330118857
1,51.5524,-121.1897,8,0.009,2025,1,0.00013399422164184216,21.002497609456384,10.380076344807946
14,52.2966,-121.5313,10,1.59,2025,1,1.2889503864244034e-06,1.9222103118896712,-5.733710352579749
30,49.603,-124.9867,8,0.009,2025,1,8.87453720679332e-05,19.862378692626976,16.867209370930993
29,56.287,-120.781,7,0.009,2025,1,0.0,18.584022140502952,9.957225418090843
15,49.0816,-123.8966,6,0.05,2025,1,0.00025038599505933234,14.64908116658529,8.89375712076827
27,49.8342,-123.1179,4,4.36,2025,1,0.00013392568934023075,6.1435568491618255,3.2452802022298215
26,50.6658,-120.3312,6,3.07,2025,1,0.0003260970115661621,17.593481318155966,8.573701477050804
7,49.2057,-125.1871,6,19.8,2025,1,4.410743663640915e-07,17.215158716837607,10.62236111958822
28,50.1477,-121.5797,7,1472.0,2025,1,6.757676601409912e-05,16.2546103159587,7.996980285644554
11,49.8151,-119.7586,7,0.009,2025,1,4.351138613856165e-07,18.49499664306643,5.614202753702841
29,58.6261,-123.7017,9,0.009,2025,1,0.0003732846683419666,6.010528182983421,0.43675448099776304
2,52.6353,-125.5443,8,9.2,2025,1,0.0020910173653874153,16.601567840576195,9.735551452636741
16,50.229,-122.9562,7,0.1,2025,1,8.709247190097358e-07,18.484372075398767,9.355612055460654
21,52.153,-121.9107,9,0.009,2025,1,0.005649539828198158,13.0684804280599,5.702963765462243
17,49.3381,-124.9172,9,0.009,2025,1,0.0002140283583571545,16.874660746256552,13.18555920918783
13,48.8411,-123.4558,9,0.009,2025,1,8.928775685035362e-06,17.40824979146322,14.114149347941122
1,50.1711,-120.6708,10,0.009,2025,1,0.0007710754871368408,10.397878901163779,3.308926518758142
13,48.4654,-124.1511,7,0.44,2025,1,3.472566595519311e-05,16.385057703654013,13.558866119384788
3,54.8379,-127.1568,8,0.76,2025,1,0.0015967398881002737,14.156385676066122,8.019914245605491
14,50.7627,-120.6081,6,2.23,2025,1,0.0005482614040488443,14.504391606648767,6.178454335530603
30,57.8666,-131.2832,7,0.1,2025,1,0.00013054907321929932,15.434649403889978,9.828496551513695
22,54.6967,-127.0554,8,0.009,2025,1,0.0,15.938301340738974,8.989732996622763
16,54.8417,-128.3417,4,0.009,2025,1,9.357929229736328e-06,1.6535380045573334,-5.51959330240885
14,49.7555,-124.5659,7,0.01,2025,1,,,
16,50.0647,-123.3382,6,0.009,2025,1,0.00010412931248993118,10.835537211100302,4.305556869506859
15,50.2884,-125.5706,10,0.009,2025,1,4.544854164123535e-06,7.631512578328454,2.833661651611351
10,52.4545,-125.6096,10,0.015,2025,1,2.2351741790771484e-07,4.102180735270224,0.5480355580647824
21,48.5451,-123.5785,4,0.009,2025,1,0.0007212411586579037,7.165739313761435,2.985353088378929
11,52.0554,-121.9032,9,0.009,2025,1,0.0,17.94109687805178,10.259314473470056
2,51.2226,-121.4756,8,0.009,2025,1,0.00036199092858169024,21.434575653076195,12.632279968261741
30,53.0514,-131.752,7,0.05,2025,1,0.0002955198287963867,15.486407216389978,13.71952845255538
19,48.4042,-123.7271,4,0.33,2025,1,0.0005046904086043469,9.248089726765954,5.775175984700525
3,55.0164,-127.3164,4,0.6,2025,1,1.7225742112714215e-06,3.034115091959677,-4.447820409138956
14,55.3788,-127.6649,5,5.8,2025,1,9.721517562866211e-05,5.450919087727868,-1.9722700754801394
3,49.7571,-124.6125,7,0.009,2025,1,,,
27,54.0026,-125.7143,4,0.04,2025,1,7.042301774617954e-06,6.53255424499514,-3.025308990478493
11,56.3088,-120.7694,4,0.2,2025,1,0.0022768618939039698,4.776253000895224,-0.8416739145914676
23,53.0867,-124.4939,4,3.3,2025,1,0.0007444679736750004,2.210730489095056,-3.2420810699462663
24,53.9708,-125.7873,4,1.15,2025,1,4.850235827547067e-05,6.163190460205101,-1.3940567016601335
7,56.4347,-121.1603,5,3.2,2025,1,0.001111844706333187,9.385495758056663,1.1865294138590912
31,54.9301,-128.8848,3,0.009,2025,1,1.284479992591514e-06,4.123103078206384,-2.205378595987952
7,56.3757,-121.3215,2,0.009,2025,1,0.0002536803482939831,-17.39835650126136,-19.959286753336556
27,55.7892,-121.0221,4,109.0,2025,1,0.00048131646025240116,4.794598515828454,-4.038736724853493
3,52.4067,-122.3164,8,0.02,2025,1,0.0024163037537618948,18.64360898335775,13.472144063313806
27,50.6761,-121.807,4,0.3,2025,1,0.0001758724581009119,9.448162968953454,-2.1453447977701785
25,54.8877,-128.396,4,5.0,2025,1,0.0015784112722272425,4.891718800862634,-0.19161326090494413
23,49.518,-123.7619,9,0.8,2025,1,0.0,15.389065043131552,11.150861994425497
10,50.1373,-120.8707,3,10.9,2026,1,0.0006986429729636257,-4.881000900268532,-10.172101720174112
25,53.9053,-128.8511,6,0.009,2025,1,0.0051678001880191005,10.634107844034872,9.792210515340173
11,55.7893,-120.2196,4,0.5,2025,1,0.0011761280176756372,5.494840240478538,-1.685505294799782
30,55.5785,-122.378,8,0.009,2025,1,1.7970965018321294e-06,19.36473871866866,9.439393615722679
3,52.6806,-122.4498,4,1.15,2025,1,1.8864869844037457e-06,2.6831222534179915,-6.348373794555641
2,51.9397,-122.5067,5,0.3,2025,1,8.492897336509486e-07,12.904914474487327,-0.5973012288411041
4,57.839,-131.3878,8,0.001,2025,1,0.0007047593593938473,9.962205505371116,4.434093093872093
3,52.988,-123.8414,5,0.009,2025,1,0.00020490586757659912,7.80051193237307,-3.9325717926025163
24,53.1113,-125.1012,7,0.98,2025,1,1.4752148445040802e-06,14.674934641520224,6.172804133097372
6,57.8556,-123.0307,6,0.038,2025,1,0.00016359984874725342,14.110032653808616,0.9385880788167356
24,53.0318,-124.7699,4,9.5,2025,1,5.249586947542184e-05,3.9013903299967865,-3.121677144368448
21,51.3993,-124.0642,4,3.0,2025,1,0.0010917585317429257,-2.4958003997802507,-7.495929463704385
27,56.4944,-122.1153,5,5.0,2025,1,0.0002186119556313315,12.921370442708337,2.453443145751976
6,49.2563,-119.7014,6,0.5,2025,1,0.0,18.436204528808616,6.017608261108421
