DAY,LATITUDE,LONGITUDE,MONTH,SIZE_HA,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
27,51.8197,-122.0729,9,0.01,2023,1,1.5482306480407715e-05,8.709818776448571,1.6603771209717024
2,54.5692,-128.4611,6,1.4,2023,1,0.0005963278373997127,9.751161829630576,3.8308718363444427
27,50.1166,-119.2738,6,0.009,2023,1,0.000916072726244721,20.171531931559286,8.554643249511741
28,54.227,-125.6543,4,1.1,2023,1,8.52346317969932e-07,6.8321942647298215,-3.2690808614094635
17,49.5187,-119.5348,4,0.009,2023,1,0.005518897860667948,-0.026008987426735075,-4.410337829589821
29,52.2471,-122.0648,4,1.0,2023,1,2.568959644122515e-06,12.961663818359398,3.266481018066429
3,49.419,-117.6083,5,3.5,2023,1,0.00019700825214385986,16.627878443400107,4.210755284627282
4,54.0927,-125.9594,6,0.2,2023,1,0.001127153634968181,8.8022285461426,0.1638891855876068
29,49.7995,-123.102,4,0.04,2023,1,2.568959644122515e-06,10.464023844401083,3.3364679972331146
27,54.9928,-125.913,6,0.1,2023,1,8.934736246857256e-06,17.5224433898926,8.328406270345056
15,51.4915,-117.2662,8,0.5,2023,1,0.0,21.647675450642907,9.417712148030603
31,54.6377,-125.7244,8,1.67,2023,1,9.718537228309287e-06,14.098826344807946,6.838155364990257
10,54.5359,-128.5502,6,0.1,2023,1,0.00010594388231766061,16.788399632771814,8.852583821614587
29,49.7502,-115.7477,8,0.6,2023,1,2.5749206429281912e-06,21.768825785319052,4.819785054524743
3,49.4769,-124.9121,8,0.009,2023,1,8.081197728415646e-05,17.564286168416345,12.541125869751
19,48.6657,-123.8027,9,0.009,2023,1,0.0012288630008647772,12.157534535725915,7.821018473307333
15,53.9193,-126.7468,9,0.35,2023,1,1.2123584745893368e-05,10.657491938273154,4.580257670084677
15,55.1504,-123.2007,9,0.001,2023,1,3.004074095258602e-06,13.059672927856468,3.7680831909179915
4,54.0742,-125.7135,7,0.009,2023,1,4.351138045421976e-07,18.091380055745446,5.365818277994833
16,49.0538,-124.2085,5,0.009,2023,1,2.5868416173580044e-06,18.31062723795577,10.88578567504885
27,53.9234,-126.7524,6,0.1,2023,1,6.411373614767513e-05,16.692690785725915,8.087602233886741
28,49.2397,-118.6964,7,0.09,2023,1,0.0006725937128067017,17.928856786092126,5.090977605183923
21,53.8093,-122.4921,5,0.009,2023,1,3.808736801147461e-05,17.010938262939476,7.180638249715173
8,54.6468,-126.9287,5,0.009,2023,1,8.583068797918258e-07,4.303612645467126,-0.176701609293616
14,50.2894,-126.9266,6,7.9,2023,1,0.0001958675480864258,9.63233655293783,4.347095743815146
9,50.5177,-124.5693,9,44.5,2023,1,1.1631846405180113e-05,13.801248168945335,8.45419591267904
13,50.5601,-124.0584,5,0.1,2023,1,8.523463925769192e-07,9.06407190958663,1.2785577138265012
21,49.9398,-122.387,9,1.15,2023,1,4.351138045421976e-07,9.80055643717452,1.2193637847900618
3,51.1999,-119.5736,7,16.3,2023,1,5.7071446804002335e-06,15.975872294108115,-0.18646977742508852
8,54.1029,-124.6636,6,0.009,2023,1,8.52346317969932e-07,19.571286137898767,5.738846715291345
3,49.4631,-123.6241,9,0.009,2023,1,0.0007733881472518078,17.473711903889978,14.340091959635458
8,49.0313,-115.0795,7,0.1,2023,1,0.0004127426964721792,20.393694814046228,10.218076324462913
6,49.489,-120.6499,8,15.78,2023,1,0.00016924738883972168,18.562921142578148,10.407244618733728
12,50.3122,-121.5536,5,0.009,2023,1,2.580881073299679e-06,11.351374562581384,1.58166338602706
26,51.9996,-122.1568,4,4.93,2023,1,0.0006468296051025391,8.672099685668968,-1.5872793833414676
28,49.7932,-126.3342,5,0.009,2023,1,8.756766760598111e-07,13.507202402750693,6.695116297404013
11,49.715,-126.5713,9,0.009,2023,1,,,
27,50.5578,-127.0395,5,0.009,2023,1,,,
30,49.8977,-125.3836,5,0.009,2023,1,0.001864415407112574,11.637910461425804,4.456241226196312
9,49.7627,-126.0378,8,0.009,2023,1,0.010926177395049308,13.637368774414085,11.95604031880697
12,49.5408,-125.0731,8,0.009,2023,1,7.101893420013994e-06,18.066592152913415,13.75797805786135
15,50.7772,-119.7298,4,0.715,2023,1,0.0004568943348886023,3.7958510080973724,-2.1175451914469363
15,48.5715,-123.5297,8,0.2,2023,1,0.0,24.56499315897628,14.923246002197288
28,49.0857,-122.1948,3,0.009,2023,1,5.602836608886719e-06,6.494716898600302,-3.270501836140909
22,51.0616,-119.0657,7,0.009,2023,1,0.0012509584426538822,20.469890848795615,11.47233606974288
19,49.4475,-124.7636,7,0.2,2023,1,2.5896499664668227e-06,20.44129079182943,12.043345387776696
21,52.5823,-122.449,11,0.09,2023,1,0.0002751231192519299,1.546383158365927,-4.263879521687784
22,49.3585,-121.4661,8,0.009,2023,1,4.981756200095333e-05,15.20548782348635,8.68238220214846
9,52.9418,-123.0179,9,0.009,2023,1,3.436207748563902e-06,14.08380025227865,5.353284454345726
30,49.925,-118.0188,7,0.009,2023,1,0.0005992650985717773,22.597565587361657,9.219402567545615
