DAY,LATITUDE,LONGITUDE,MONTH,SIZE_HA,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
24,51.8197,-122.0729,9,0.01,2023,1,0.0,8.775322850545251,1.4999595642090071
30,54.5692,-128.4611,5,1.4,2023,1,0.0022677600383076424,6.217500305175804,1.4595778147379974
24,50.1166,-119.2738,6,0.009,2023,1,8.071362964301443e-05,17.449367141723656,5.986738459269247
25,54.227,-125.6543,4,1.1,2023,1,0.0006051972978298181,2.3998046875000227,-4.800279362996378
14,49.5187,-119.5348,4,0.009,2023,1,0.00039705932130118526,1.5172147115071652,-6.704890314737952
26,52.2471,-122.0648,4,1.0,2023,1,0.0013779252767562866,8.394267654418968,-1.340046310424782
30,49.419,-117.6083,4,3.5,2023,1,6.394684311317178e-05,12.99343070983889,3.2652437845866302
1,54.0927,-125.9594,6,0.2,2023,1,0.0002506464719722601,7.722826258341513,-1.9092417399088504
26,49.7995,-123.102,4,0.04,2023,1,0.004754960536956787,2.6776335398356537,1.1845305124919037
24,54.9928,-125.913,6,0.1,2023,1,4.706680766730642e-05,17.85398953755697,6.768232599894247
12,51.4915,-117.2662,8,0.5,2023,1,0.00039587318896749935,14.876162465413415,6.5889513651530365
28,54.6377,-125.7244,8,1.67,2023,1,0.0,20.27144012451174,10.32710990905764
7,54.5359,-128.5502,6,0.1,2023,1,1.716613667213096e-06,15.857193883260095,6.461645380655966
26,49.7502,-115.7477,8,0.6,2023,1,0.0007429689168816367,18.787604904174827,8.418353017171228
31,49.4769,-124.9121,7,0.009,2023,1,0.00012339949603301648,15.358442560831747,9.732579167683923
16,48.6657,-123.8027,9,0.009,2023,1,2.980232238769531e-07,16.336473719279013,9.232832845052087
12,53.9193,-126.7468,9,0.35,2023,1,0.002565816044807434,10.517395273844443,7.1421466827392805
12,55.1504,-123.2007,9,0.001,2023,1,0.0024916082620620728,12.483622487386071,8.618302281697595
1,54.0742,-125.7135,7,0.009,2023,1,0.0026939982251015238,12.08491160074874,2.241407012939476
13,49.0538,-124.2085,5,0.009,2023,1,8.523463925769192e-07,16.71446253458663,7.495435969034872
24,53.9234,-126.7524,6,0.1,2023,1,1.7225741544280027e-06,15.894923782348656,4.291344579060876
25,49.2397,-118.6964,7,0.09,2023,1,0.0005631367507703544,16.237726465861044,5.614968236287439
18,53.8093,-122.4921,5,0.009,2023,1,3.141164779663086e-05,17.186299896240257,5.206235504150413
5,54.6468,-126.9287,5,0.009,2023,1,0.0003146705528251914,9.718988037109398,3.100418980916345
11,50.2894,-126.9266,6,7.9,2023,1,9.626150131225586e-06,12.335293706258142,7.361533101399743
6,50.5177,-124.5693,9,44.5,2023,1,0.010326221585273743,10.424327468872093,8.007505035400413
10,50.5601,-124.0584,5,0.1,2023,1,1.1745095150672569e-05,3.829496637980185,1.2995296478271712
18,49.9398,-122.387,9,1.15,2023,1,0.005365997552871704,9.673130925496423,6.595351155598962
30,51.1999,-119.5736,6,16.3,2023,1,4.0069868248338025e-05,21.023259099324548,8.601373926798544
5,54.1029,-124.6636,6,0.009,2023,1,0.0006096690892150036,8.33537635803225,-1.4348148345947038
31,49.4631,-123.6241,8,0.009,2023,1,0.007766473293202125,14.340525563557946,12.381286875406943
5,49.0313,-115.0795,7,0.1,2023,1,0.0007496774196056322,17.41020545959475,8.41924947102865
3,49.489,-120.6499,8,15.78,2023,1,8.52346317969932e-07,16.348465855916345,7.155383682250999
9,50.3122,-121.5536,5,0.009,2023,1,0.0037823859847314623,7.187734858195029,4.193420664469443
23,51.9996,-122.1568,4,4.93,2023,1,0.0015392899513244629,6.474562581380212,1.4721625010172943
25,49.7932,-126.3342,5,0.009,2023,1,0.0,14.708727773030603,7.330806986490927
8,49.715,-126.5713,9,0.009,2023,1,,,
24,50.5578,-127.0395,5,0.009,2023,1,,,
27,49.8977,-125.3836,5,0.009,2023,1,0.0014940947293098361,16.487219111124716,10.536283747355185
6,49.7627,-126.0378,8,0.009,2023,1,0.00014509260654449463,19.617445882161462,13.907977040608728
9,49.5408,-125.0731,8,0.009,2023,1,0.015753021133605216,15.60750223795577,14.236395136515341
12,50.7772,-119.7298,4,0.715,2023,1,0.001899617909657536,2.0162909189860443,-3.909245554606116
12,48.5715,-123.5297,8,0.2,2023,1,4.464387888702959e-06,18.748721059163415,13.881187693278036
25,49.0857,-122.1948,3,0.009,2023,1,0.008365422521421806,2.2188646952311615,0.9295599619547943
19,51.0616,-119.0657,7,0.009,2023,1,1.9787023575190688e-06,17.608201599121116,7.999969736735068
16,49.4475,-124.7636,7,0.2,2023,1,4.26173210144043e-06,18.871898269653343,11.130266443888388
18,52.5823,-122.449,11,0.09,2023,1,0.0001103758810927502,1.1120690663655637,-3.0869322458902957
19,49.3585,-121.4661,8,0.009,2023,1,0.0,15.089446640014671,4.138264592488611
6,52.9418,-123.0179,9,0.009,2023,1,0.009430676698684692,10.384207026163779,6.915870920817099
27,49.925,-118.0188,7,0.009,2023,1,1.6593933104047665e-05,16.95828526814779,6.385381317138695
30,49.5033,-123.7436,4,0.009,2023,1,0.00011160075661109659,11.23757133483889,7.521998341878259
11,50.6611,-120.54,4,3.13,2023,1,0.0013346910473046592,4.067657725016318,-0.5075223286946198
2,54.0933,-122.5482,5,1.15,2023,1,4.351138613856165e-07,12.928088124593103,5.828780110677087
4,52.294,-125.1182,9,1.0,2023,1,2.142786968306609e-06,11.900891876220726,2.787062581380212
30,50.6038,-117.0109,4,13.0,2023,1,1.2874602930423862e-06,9.946637090047204,-0.1824287414550554
30,50.4227,-126.4163,10,50.0,2023,1,3.623377551775775e-06,2.3005488077799896,-1.2881435394286882
29,49.6537,-116.0348,4,3.0,2023,1,2.568959644122515e-06,7.964919026692712,-0.3491602579752566
9,54.1988,-125.807,4,3.0,2023,1,0.005016207694893637,1.451046244303427,-2.1590777079264285
13,52.4396,-118.7438,1,8.0,2023,1,0.007748028635944593,-6.275096003214514,-7.556224568684854
