DAY,LATITUDE,LONGITUDE,MONTH,SIZE,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
20,53.004,-122.5136,8,0.6,2025,1,0.005635562538998329,12.98237253824874,7.631695048014365
7,53.8388,-123.191,6,0.3,2025,1,4.410743663640915e-07,14.367421086629236,1.40556424458822
8,52.1159,-123.2478,4,0.9,2025,1,0.0009106248617172241,4.147630945841513,-2.965963109334268
30,51.939,-123.0076,3,0.927,2025,1,0.0002863943576763006,1.072403844197595,-2.4774447123209598
30,51.9376,-123.0265,3,0.6,2025,1,0.0002863943576763006,1.072403844197595,-2.4774447123209598
30,51.9441,-123.0702,3,0.5,2025,1,0.0005299836397121283,1.164200719197595,-2.4051790873209598
7,53.8116,-123.3266,8,0.12,2025,1,0.002246620101118424,14.5829902648926,8.219216918945335
31,55.7533,-121.2901,5,0.2,2025,1,0.00017067822705030267,13.008706029256189,3.2488488515218137
19,56.595,-120.772,5,0.2,2025,1,0.0025490267891541407,11.993666585286462,5.639029439290368
13,52.5188,-118.8503,7,0.009,2025,1,0.005535638332275994,13.265835698445642,8.742134348551474
24,49.7022,-119.8658,8,0.15,2025,1,0.0,22.38686014811202,7.737775421142601
3,52.1015,-123.5631,10,0.11,2025,1,0.001565593481018368,6.327149963378929,3.399502690633142
2,51.6324,-121.2909,5,0.04,2025,1,8.492897336509486e-07,13.147427495320642,0.6229949951172102
6,49.7625,-123.1331,6,59.5,2025,1,0.00015182793140411377,12.970384216308616,9.277373886108421
10,52.4617,-125.372,5,2.24,2025,1,0.0013468950986847972,4.462659454345726,-1.370936457316077
6,52.4688,-125.28,6,0.03,2025,1,0.0003612339496612549,11.680263773600302,6.810495630900107
2,56.2807,-120.7,4,0.5,2025,1,0.0002076143922522533,-0.6263469696044695,-14.229797108968057
30,55.7127,-121.3775,5,0.32,2025,1,0.0015948116779327393,13.022933578491234,-0.8679927825927507
29,49.3608,-121.4815,6,1.5,2025,1,3.337384578117053e-05,14.358308410644554,8.546285883585654
