YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,5,25,49.6614,-125.1581,0.009,H
2023,4,27,52.0351,-123.177,209.0,H
2023,5,6,54.1118,-126.7543,0.6,H
2023,5,18,53.8073,-126.0482,0.5,H
2023,11,1,52.1803,-121.7751,0.8,H
2023,4,30,49.602,-115.6642,0.2,H
2023,3,27,50.6149,-120.1836,0.21,H
2023,12,4,52.1087,-119.2905,0.009,H
2023,5,14,57.8391,-131.3907,0.1,H
2023,4,10,52.0332,-123.1865,10.4,H
2023,8,8,54.0566,-125.7635,1.1,H
2023,5,4,54.0024,-125.742,0.6,H
2023,3,27,53.9965,-123.8192,0.2,H
2023,5,16,53.7003,-125.7428,17.0,H
2023,6,3,49.7772,-119.4555,0.009,H
2023,10,8,53.919,-122.9376,0.009,H
2023,7,29,49.4183,-115.789,0.009,H
2023,6,12,53.9444,-124.114,0.009,H
2023,4,29,54.6305,-124.6567,0.2,H
2023,6,27,54.5323,-128.5056,0.03,H
2023,4,26,53.8898,-124.0133,0.41,H
2023,5,15,49.0862,-121.6783,1.0,H
2023,4,26,53.0211,-122.0597,0.009,H
2023,4,29,55.9928,-120.6102,4.0,H
2023,6,3,49.5581,-115.7104,0.045,H
2023,5,13,50.0611,-123.3297,38.0,H
2023,8,3,50.5128,-118.9957,1.0,H
2023,6,5,50.712,-120.3403,3.4,H
2023,5,15,49.0138,-124.2248,0.1,H
2023,11,3,55.4941,-120.9821,0.2,H
2023,11,15,50.4839,-120.6084,0.08,H
2023,5,2,53.7618,-122.7132,2.0,H
2023,8,11,50.1913,-116.0488,0.01,H
2023,8,18,51.3859,-121.1816,0.28,H
2023,7,1,50.8081,-119.75,0.15,H
2023,9,1,55.6905,-121.4383,0.41,H
2023,8,18,50.5627,-119.0361,0.009,H
2023,8,15,55.0403,-128.2801,0.009,N
2023,8,14,50.7908,-120.7346,0.009,H
2023,6,8,49.1812,-125.3945,0.009,H
2023,8,22,50.7668,-120.9684,0.0,H
2023,5,4,53.9221,-124.1533,0.3,H
2023,4,23,51.9253,-122.5221,10.0,H
2023,9,3,53.4308,-122.8195,0.1,H
2023,5,15,50.4464,-126.202,3.84,H
2023,6,15,50.2822,-125.7337,0.01,H
2023,6,24,50.2937,-125.936,0.9,H
2023,4,29,52.4654,-125.2659,0.1,H
2023,5,21,49.2706,-124.7774,0.009,H
2023,7,5,52.0863,-123.3633,0.1,H
2023,7,15,49.2378,-124.7916,0.99,H
2023,4,16,56.3743,-121.2339,12.0,H
2023,1,22,49.527,-123.8999,0.009,H
2023,8,6,49.8629,-124.3821,0.55,H
2023,5,23,49.2605,-124.7686,0.009,H
2023,4,30,52.2212,-122.0139,0.009,H
2023,8,8,53.9516,-124.3194,0.2,H
2023,8,9,49.2506,-124.8652,0.009,H
2023,6,26,49.2609,-124.7682,0.009,H
2023,5,17,52.4565,-125.4258,145.0,H
2023,5,31,49.846,-124.3743,1.01,H
2023,5,4,53.2884,-120.0705,1100.0,H
2023,4,28,53.0882,-124.4962,2.05,H
2023,11,16,52.4802,-122.2988,0.009,H
2023,4,10,55.7149,-121.5065,1.09,H
2023,7,3,53.8509,-125.8502,0.009,H
2023,5,6,56.4426,-121.5235,19.1,H
2023,4,14,50.7802,-119.732,11.5,H
2023,4,8,51.9396,-123.0947,3.8,H
2023,7,31,54.0747,-122.7214,0.2,H
2023,7,12,52.3846,-125.0349,0.3,H
2023,8,6,54.1105,-122.1946,0.2,H
2023,6,15,50.6652,-119.8624,0.009,H
2023,8,8,52.1028,-122.006,0.6,H
2023,6,8,52.2548,-120.8352,226.0,H
2023,8,3,50.4869,-120.5484,0.009,H
2023,6,2,54.5262,-128.7136,0.2,H
2023,8,13,49.0993,-117.7301,1.3,H
2023,6,2,52.8597,-118.5604,0.5,H
2023,6,4,56.5328,-121.7593,0.009,H
2023,8,1,49.6243,-121.3939,0.1,H
2023,6,8,54.4479,-128.5922,0.1,H
2023,10,16,52.0744,-121.3344,1.64,H
2023,6,10,51.7026,-116.6955,8.0,H
2023,10,24,53.7464,-120.3972,0.2,H
2023,4,4,51.7722,-121.0039,0.009,H
2023,4,4,49.4566,-119.6083,0.5,H
2023,10,16,52.0809,-121.3165,0.27,H
